"Id partie","Nom du joueur","Prix moyen des citadelles achetées","Rôle préféré","Nombre de fois où il assassine","Nombre de fois où il s'est fait assassiner"
"1","RandomPlayer","","","","2"
"1","AlwaysSpendPlayer","","","","0"
"1","ThomasPlayer","","","","1"
"1","MattPlayer","","","","0"
"2","MattPlayer","","","","0"
"2","ThomasPlayer","","","","1"
"2","AlwaysSpendPlayer","","","","3"
"2","RandomPlayer","","","","0"
"3","MattPlayer","","","","2"
"3","AlwaysSpendPlayer","","","","1"
"3","ThomasPlayer","","","","0"
"3","RandomPlayer","","","","0"
"4","MattPlayer","","","","1"
"4","ThomasPlayer","","","","0"
"4","RandomPlayer","","","","1"
"4","AlwaysSpendPlayer","","","","1"
"5","MattPlayer","","","","1"
"5","AlwaysSpendPlayer","","","","1"
"5","RandomPlayer","","","","0"
"5","ThomasPlayer","","","","1"
"6","MattPlayer","","","","1"
"6","ThomasPlayer","","","","1"
"6","RandomPlayer","","","","0"
"6","AlwaysSpendPlayer","","","","2"
"7","RandomPlayer","","","","0"
"7","MattPlayer","","","","1"
"7","AlwaysSpendPlayer","","","","0"
"7","ThomasPlayer","","","","0"
"8","ThomasPlayer","","","","0"
"8","AlwaysSpendPlayer","","","","1"
"8","RandomPlayer","","","","1"
"8","MattPlayer","","","","0"
"9","MattPlayer","","","","0"
"9","RandomPlayer","","","","0"
"9","ThomasPlayer","","","","0"
"9","AlwaysSpendPlayer","","","","0"
"10","RandomPlayer","","","","0"
"10","ThomasPlayer","","","","0"
"10","MattPlayer","","","","0"
"10","AlwaysSpendPlayer","","","","3"
"11","ThomasPlayer","","","","0"
"11","AlwaysSpendPlayer","","","","0"
"11","MattPlayer","","","","0"
"11","RandomPlayer","","","","0"
"12","AlwaysSpendPlayer","","","","0"
"12","RandomPlayer","","","","0"
"12","MattPlayer","","","","0"
"12","ThomasPlayer","","","","1"
"13","AlwaysSpendPlayer","","","","0"
"13","RandomPlayer","","","","0"
"13","MattPlayer","","","","1"
"13","ThomasPlayer","","","","0"
"14","MattPlayer","","","","0"
"14","RandomPlayer","","","","0"
"14","ThomasPlayer","","","","1"
"14","AlwaysSpendPlayer","","","","1"
"15","AlwaysSpendPlayer","","","","0"
"15","MattPlayer","","","","0"
"15","RandomPlayer","","","","0"
"15","ThomasPlayer","","","","0"
