"Id partie","Nom du joueur","Prix moyen des citadelles achetées","Rôle préféré","Nombre de fois où il assassine","Nombre de fois où il s'est fait assassiner","Score","Victoire","Egalite"
"1","MattPlayer","2 pièces","MARCHAND","3","1","19","Non","Non"
"1","ThomasPlayer","2 pièces","CONDOTTIERE","0","1","26","Oui","Non"
"1","RandomPlayer","2 pièces","MAGICIEN","1","0","19","Non","Non"
"1","AlwaysSpendPlayer","3 pièces","ROI","1","2","25","Non","Non"
"2","RandomPlayer","2 pièces","VOLEUR","0","0","28","Oui","Non"
"2","ThomasPlayer","2 pièces","ARCHITECTE","1","1","22","Non","Non"
"2","MattPlayer","2 pièces","MARCHAND","0","1","26","Non","Non"
"2","AlwaysSpendPlayer","4 pièces","VOLEUR","3","0","17","Non","Non"
"3","MattPlayer","2 pièces","MARCHAND","0","1","10","Non","Non"
"3","AlwaysSpendPlayer","2 pièces","VOLEUR","1","0","14","Non","Non"
"3","ThomasPlayer","1 pièces","ARCHITECTE","0","0","19","Oui","Non"
"3","RandomPlayer","1 pièces","ASSASSIN","3","0","6","Non","Non"
"4","MattPlayer","2 pièces","ASSASSIN","5","0","21","Non","Non"
"4","AlwaysSpendPlayer","3 pièces","CONDOTTIERE","0","1","23","Non","Non"
"4","ThomasPlayer","3 pièces","CONDOTTIERE","1","1","29","Oui","Non"
"4","RandomPlayer","2 pièces","EVEQUE","3","0","24","Non","Non"
"5","MattPlayer","2 pièces","MARCHAND","1","0","13","Non","Non"
"5","RandomPlayer","2 pièces","CONDOTTIERE","1","0","26","Non","Non"
"5","ThomasPlayer","4 pièces","ARCHITECTE","0","1","41","Oui","Non"
"5","AlwaysSpendPlayer","3 pièces","VOLEUR","3","0","26","Non","Non"
"6","RandomPlayer","2 pièces","ROI","2","0","12","Non","Non"
"6","AlwaysSpendPlayer","3 pièces","ROI","1","1","31","Oui","Non"
"6","MattPlayer","2 pièces","MARCHAND","2","1","16","Non","Non"
"6","ThomasPlayer","2 pièces","ARCHITECTE","1","0","20","Non","Non"
"7","MattPlayer","2 pièces","MARCHAND","0","0","26","Oui","Non"
"7","AlwaysSpendPlayer","2 pièces","MAGICIEN","2","0","11","Non","Non"
"7","RandomPlayer","1 pièces","ROI","0","0","8","Non","Non"
"7","ThomasPlayer","2 pièces","CONDOTTIERE","0","0","21","Non","Non"
"8","AlwaysSpendPlayer","3 pièces","ROI","0","0","20","Non","Non"
"8","ThomasPlayer","2 pièces","ARCHITECTE","0","0","29","Oui","Non"
"8","MattPlayer","2 pièces","ASSASSIN","4","0","12","Non","Non"
"8","RandomPlayer","2 pièces","MAGICIEN","2","1","8","Non","Non"
"9","ThomasPlayer","4 pièces","ROI","0","1","20","Non","Non"
"9","AlwaysSpendPlayer","3 pièces","ASSASSIN","3","0","28","Oui","Non"
"9","RandomPlayer","2 pièces","MAGICIEN","3","0","25","Non","Non"
"9","MattPlayer","2 pièces","MARCHAND","1","2","17","Non","Non"
"10","ThomasPlayer","2 pièces","CONDOTTIERE","1","0","28","Oui","Non"
"10","MattPlayer","2 pièces","ARCHITECTE","0","0","15","Non","Non"
"10","RandomPlayer","2 pièces","MARCHAND","2","0","12","Non","Non"
"10","AlwaysSpendPlayer","4 pièces","ROI","1","0","14","Non","Non"
"11","AlwaysSpendPlayer","3 pièces","ROI","1","0","16","Non","Non"
"11","ThomasPlayer","3 pièces","CONDOTTIERE","1","1","17","Non","Non"
"11","MattPlayer","2 pièces","MARCHAND","0","1","22","Oui","Non"
"11","RandomPlayer","2 pièces","EVEQUE","1","1","15","Non","Non"
"12","MattPlayer","2 pièces","MARCHAND","1","3","10","Non","Non"
"12","ThomasPlayer","2 pièces","CONDOTTIERE","1","0","25","Oui","Non"
"12","AlwaysSpendPlayer","2 pièces","ASSASSIN","3","1","13","Non","Non"
"12","RandomPlayer","3 pièces","EVEQUE","2","0","21","Non","Non"
"13","ThomasPlayer","2 pièces","ARCHITECTE","0","0","24","Oui","Non"
"13","RandomPlayer","2 pièces","ROI","0","0","7","Non","Non"
"13","MattPlayer","2 pièces","MARCHAND","1","1","13","Non","Non"
"13","AlwaysSpendPlayer","2 pièces","EVEQUE","2","0","8","Non","Non"
"14","RandomPlayer","2 pièces","EVEQUE","1","0","23","Non","Oui"
"14","MattPlayer","3 pièces","ASSASSIN","4","1","13","Non","Non"
"14","AlwaysSpendPlayer","3 pièces","ROI","1","0","23","Non","Oui"
"14","ThomasPlayer","2 pièces","ARCHITECTE","0","3","16","Non","Non"
"15","MattPlayer","2 pièces","MARCHAND","1","1","14","Non","Non"
"15","AlwaysSpendPlayer","3 pièces","ASSASSIN","4","1","19","Non","Non"
"15","ThomasPlayer","2 pièces","ARCHITECTE","0","2","26","Oui","Non"
"15","RandomPlayer","2 pièces","ASSASSIN","3","0","23","Non","Non"
"16","RandomPlayer","2 pièces","EVEQUE","1","0","9","Non","Non"
"16","ThomasPlayer","2 pièces","CONDOTTIERE","1","0","13","Non","Non"
"16","AlwaysSpendPlayer","3 pièces","VOLEUR","1","0","22","Non","Non"
"16","MattPlayer","2 pièces","MARCHAND","0","0","27","Oui","Non"
"17","MattPlayer","2 pièces","ARCHITECTE","1","1","14","Non","Non"
"17","AlwaysSpendPlayer","2 pièces","VOLEUR","1","0","30","Oui","Non"
"17","RandomPlayer","1 pièces","CONDOTTIERE","2","1","4","Non","Non"
"17","ThomasPlayer","2 pièces","ARCHITECTE","1","0","22","Non","Non"
"18","MattPlayer","2 pièces","ARCHITECTE","2","0","16","Non","Non"
"18","AlwaysSpendPlayer","2 pièces","ROI","1","2","14","Non","Non"
"18","RandomPlayer","1 pièces","ASSASSIN","3","0","10","Non","Non"
"18","ThomasPlayer","3 pièces","EVEQUE","1","0","32","Oui","Non"
"19","ThomasPlayer","3 pièces","CONDOTTIERE","0","2","19","Non","Non"
"19","MattPlayer","2 pièces","ARCHITECTE","0","0","25","Oui","Non"
"19","AlwaysSpendPlayer","4 pièces","EVEQUE","1","1","13","Non","Non"
"19","RandomPlayer","1 pièces","ASSASSIN","3","0","8","Non","Non"
"20","ThomasPlayer","2 pièces","ASSASSIN","3","1","16","Non","Non"
"20","AlwaysSpendPlayer","3 pièces","ASSASSIN","3","0","24","Non","Non"
"20","MattPlayer","3 pièces","MARCHAND","0","1","30","Oui","Non"
"20","RandomPlayer","2 pièces","VOLEUR","0","1","11","Non","Non"
"21","ThomasPlayer","2 pièces","CONDOTTIERE","0","1","14","Non","Non"
"21","MattPlayer","2 pièces","ARCHITECTE","3","0","27","Oui","Non"
"21","RandomPlayer","2 pièces","VOLEUR","2","1","13","Non","Non"
"21","AlwaysSpendPlayer","3 pièces","ASSASSIN","2","0","15","Non","Non"
"22","MattPlayer","2 pièces","MARCHAND","1","2","19","Non","Non"
"22","RandomPlayer","1 pièces","ASSASSIN","2","1","6","Non","Non"
"22","AlwaysSpendPlayer","3 pièces","VOLEUR","2","0","17","Non","Non"
"22","ThomasPlayer","2 pièces","CONDOTTIERE","1","1","25","Oui","Non"
"23","MattPlayer","2 pièces","MARCHAND","0","0","20","Non","Non"
"23","ThomasPlayer","2 pièces","ARCHITECTE","0","0","27","Oui","Non"
"23","RandomPlayer","1 pièces","ROI","1","0","11","Non","Non"
"23","AlwaysSpendPlayer","2 pièces","MAGICIEN","0","0","18","Non","Non"
"24","ThomasPlayer","2 pièces","MAGICIEN","1","0","25","Oui","Non"
"24","RandomPlayer","2 pièces","ASSASSIN","3","0","17","Non","Non"
"24","MattPlayer","2 pièces","MARCHAND","0","1","10","Non","Non"
"24","AlwaysSpendPlayer","2 pièces","ROI","0","1","14","Non","Non"
"25","RandomPlayer","1 pièces","ROI","1","2","7","Non","Non"
"25","MattPlayer","2 pièces","MARCHAND","2","0","13","Non","Non"
"25","ThomasPlayer","2 pièces","ARCHITECTE","0","0","26","Oui","Non"
"25","AlwaysSpendPlayer","2 pièces","MAGICIEN","1","0","23","Non","Non"
"26","AlwaysSpendPlayer","3 pièces","VOLEUR","2","0","15","Non","Non"
"26","ThomasPlayer","3 pièces","ARCHITECTE","1","0","32","Oui","Non"
"26","RandomPlayer","3 pièces","ROI","0","0","14","Non","Non"
"26","MattPlayer","3 pièces","MARCHAND","0","0","12","Non","Non"
"27","ThomasPlayer","3 pièces","CONDOTTIERE","0","0","29","Oui","Non"
"27","RandomPlayer","2 pièces","ARCHITECTE","2","0","20","Non","Non"
"27","AlwaysSpendPlayer","3 pièces","VOLEUR","0","1","15","Non","Non"
"27","MattPlayer","2 pièces","ARCHITECTE","1","1","10","Non","Non"
"28","ThomasPlayer","2 pièces","ARCHITECTE","0","0","27","Non","Oui"
"28","RandomPlayer","1 pièces","MAGICIEN","0","0","9","Non","Non"
"28","MattPlayer","2 pièces","MARCHAND","0","0","27","Non","Oui"
"28","AlwaysSpendPlayer","3 pièces","MAGICIEN","1","0","25","Non","Non"
"29","ThomasPlayer","2 pièces","CONDOTTIERE","3","0","18","Non","Non"
"29","AlwaysSpendPlayer","3 pièces","MAGICIEN","0","0","24","Non","Non"
"29","RandomPlayer","2 pièces","ASSASSIN","3","0","20","Non","Non"
"29","MattPlayer","3 pièces","MARCHAND","0","1","29","Oui","Non"
"30","MattPlayer","2 pièces","EVEQUE","0","0","26","Oui","Non"
"30","ThomasPlayer","2 pièces","ARCHITECTE","0","2","14","Non","Non"
"30","RandomPlayer","2 pièces","ASSASSIN","2","0","12","Non","Non"
"30","AlwaysSpendPlayer","4 pièces","ASSASSIN","2","0","18","Non","Non"
"31","RandomPlayer","1 pièces","VOLEUR","0","1","13","Non","Non"
"31","AlwaysSpendPlayer","2 pièces","VOLEUR","2","0","25","Oui","Non"
"31","MattPlayer","2 pièces","ASSASSIN","4","1","23","Non","Non"
"31","ThomasPlayer","3 pièces","CONDOTTIERE","0","0","15","Non","Non"
"32","AlwaysSpendPlayer","2 pièces","EVEQUE","0","0","13","Non","Non"
"32","MattPlayer","2 pièces","MARCHAND","0","0","18","Non","Non"
"32","RandomPlayer","1 pièces","VOLEUR","0","0","9","Non","Non"
"32","ThomasPlayer","2 pièces","CONDOTTIERE","1","0","27","Oui","Non"
"33","AlwaysSpendPlayer","3 pièces","ROI","2","1","31","Oui","Non"
"33","RandomPlayer","2 pièces","ASSASSIN","2","2","10","Non","Non"
"33","MattPlayer","2 pièces","MARCHAND","3","0","25","Non","Non"
"33","ThomasPlayer","2 pièces","ARCHITECTE","0","1","26","Non","Non"
"34","AlwaysSpendPlayer","2 pièces","ASSASSIN","2","1","14","Non","Non"
"34","ThomasPlayer","2 pièces","ASSASSIN","3","0","30","Oui","Non"
"34","MattPlayer","2 pièces","MARCHAND","1","2","19","Non","Non"
"34","RandomPlayer","2 pièces","MAGICIEN","1","1","8","Non","Non"
"35","MattPlayer","2 pièces","MARCHAND","0","2","16","Non","Non"
"35","AlwaysSpendPlayer","3 pièces","ASSASSIN","4","0","21","Non","Non"
"35","ThomasPlayer","3 pièces","VOLEUR","0","0","31","Oui","Non"
"35","RandomPlayer","2 pièces","EVEQUE","1","0","16","Non","Non"
"36","MattPlayer","3 pièces","MARCHAND","2","1","12","Non","Non"
"36","RandomPlayer","2 pièces","MAGICIEN","2","0","17","Non","Non"
"36","AlwaysSpendPlayer","2 pièces","CONDOTTIERE","2","1","13","Non","Non"
"36","ThomasPlayer","2 pièces","CONDOTTIERE","1","0","23","Oui","Non"
"37","ThomasPlayer","2 pièces","CONDOTTIERE","1","1","14","Non","Non"
"37","MattPlayer","2 pièces","MARCHAND","1","0","26","Oui","Non"
"37","RandomPlayer","2 pièces","ROI","3","0","12","Non","Non"
"37","AlwaysSpendPlayer","3 pièces","MAGICIEN","3","2","18","Non","Non"
"38","ThomasPlayer","2 pièces","ARCHITECTE","1","1","28","Oui","Non"
"38","AlwaysSpendPlayer","3 pièces","ROI","1","0","22","Non","Non"
"38","MattPlayer","2 pièces","MARCHAND","1","2","13","Non","Non"
"38","RandomPlayer","2 pièces","MAGICIEN","2","1","15","Non","Non"
"39","RandomPlayer","2 pièces","ROI","2","1","12","Non","Non"
"39","ThomasPlayer","2 pièces","ARCHITECTE","2","1","23","Oui","Non"
"39","MattPlayer","3 pièces","MARCHAND","0","0","12","Non","Non"
"39","AlwaysSpendPlayer","2 pièces","ASSASSIN","2","0","13","Non","Non"
"40","ThomasPlayer","3 pièces","CONDOTTIERE","0","0","29","Oui","Non"
"40","MattPlayer","2 pièces","MARCHAND","2","2","20","Non","Non"
"40","AlwaysSpendPlayer","3 pièces","EVEQUE","3","0","24","Non","Non"
"40","RandomPlayer","2 pièces","ASSASSIN","2","1","15","Non","Non"
"41","MattPlayer","2 pièces","MARCHAND","0","0","9","Non","Non"
"41","ThomasPlayer","2 pièces","ARCHITECTE","0","1","26","Oui","Non"
"41","AlwaysSpendPlayer","2 pièces","VOLEUR","0","1","16","Non","Non"
"41","RandomPlayer","3 pièces","ASSASSIN","2","0","16","Non","Non"
"42","AlwaysSpendPlayer","3 pièces","MAGICIEN","1","0","16","Non","Non"
"42","MattPlayer","2 pièces","MARCHAND","1","1","16","Non","Non"
"42","RandomPlayer","2 pièces","CONDOTTIERE","2","0","12","Non","Non"
"42","ThomasPlayer","2 pièces","ARCHITECTE","0","0","30","Oui","Non"
"43","RandomPlayer","3 pièces","VOLEUR","3","0","23","Non","Non"
"43","MattPlayer","3 pièces","MARCHAND","2","2","28","Oui","Non"
"43","AlwaysSpendPlayer","2 pièces","EVEQUE","1","0","14","Non","Non"
"43","ThomasPlayer","2 pièces","ARCHITECTE","2","1","20","Non","Non"
"44","ThomasPlayer","2 pièces","MAGICIEN","1","0","22","Non","Non"
"44","AlwaysSpendPlayer","3 pièces","VOLEUR","2","1","35","Oui","Non"
"44","MattPlayer","3 pièces","MARCHAND","0","1","28","Non","Non"
"44","RandomPlayer","2 pièces","MAGICIEN","2","1","16","Non","Non"
"45","MattPlayer","2 pièces","MARCHAND","2","1","15","Non","Non"
"45","AlwaysSpendPlayer","3 pièces","ROI","1","0","31","Oui","Non"
"45","ThomasPlayer","2 pièces","CONDOTTIERE","1","0","24","Non","Non"
"45","RandomPlayer","2 pièces","MARCHAND","2","0","23","Non","Non"
"46","MattPlayer","2 pièces","MARCHAND","1","2","20","Non","Non"
"46","AlwaysSpendPlayer","2 pièces","ROI","1","1","8","Non","Non"
"46","RandomPlayer","2 pièces","MAGICIEN","2","1","8","Non","Non"
"46","ThomasPlayer","3 pièces","ASSASSIN","3","1","30","Oui","Non"
"47","ThomasPlayer","3 pièces","ARCHITECTE","1","0","33","Non","Non"
"47","MattPlayer","2 pièces","MARCHAND","2","1","23","Non","Non"
"47","AlwaysSpendPlayer","3 pièces","EVEQUE","0","1","36","Oui","Non"
"47","RandomPlayer","2 pièces","ASSASSIN","3","0","17","Non","Non"
"48","AlwaysSpendPlayer","2 pièces","ROI","0","1","15","Non","Non"
"48","MattPlayer","2 pièces","MARCHAND","2","0","26","Oui","Non"
"48","ThomasPlayer","3 pièces","CONDOTTIERE","1","0","18","Non","Non"
"48","RandomPlayer","2 pièces","VOLEUR","0","1","9","Non","Non"
"49","RandomPlayer","3 pièces","ROI","1","1","13","Non","Non"
"49","MattPlayer","2 pièces","ASSASSIN","2","2","10","Non","Non"
"49","AlwaysSpendPlayer","3 pièces","ASSASSIN","2","0","19","Non","Non"
"49","ThomasPlayer","2 pièces","ARCHITECTE","0","0","23","Oui","Non"
"50","AlwaysSpendPlayer","3 pièces","EVEQUE","0","1","25","Oui","Non"
"50","MattPlayer","2 pièces","MARCHAND","2","0","24","Non","Non"
"50","ThomasPlayer","3 pièces","CONDOTTIERE","1","0","17","Non","Non"
"50","RandomPlayer","3 pièces","ROI","0","0","18","Non","Non"
"51","ThomasPlayer","2 pièces","CONDOTTIERE","0","1","14","Non","Non"
"51","AlwaysSpendPlayer","2 pièces","VOLEUR","0","1","14","Non","Non"
"51","MattPlayer","3 pièces","ARCHITECTE","2","0","29","Oui","Non"
"51","RandomPlayer","1 pièces","CONDOTTIERE","2","0","9","Non","Non"
"52","RandomPlayer","2 pièces","VOLEUR","1","0","20","Non","Oui"
"52","MattPlayer","2 pièces","MARCHAND","0","0","20","Non","Oui"
"52","ThomasPlayer","2 pièces","ARCHITECTE","0","1","20","Non","Oui"
"52","AlwaysSpendPlayer","2 pièces","EVEQUE","2","0","20","Non","Oui"
"53","MattPlayer","2 pièces","MARCHAND","0","0","22","Non","Non"
"53","ThomasPlayer","2 pièces","ARCHITECTE","1","1","16","Non","Non"
"53","RandomPlayer","2 pièces","VOLEUR","1","0","15","Non","Non"
"53","AlwaysSpendPlayer","3 pièces","MAGICIEN","1","0","23","Oui","Non"
"54","RandomPlayer","2 pièces","VOLEUR","1","0","10","Non","Non"
"54","MattPlayer","3 pièces","ARCHITECTE","2","0","16","Non","Non"
"54","ThomasPlayer","2 pièces","ARCHITECTE","1","1","20","Oui","Non"
"54","AlwaysSpendPlayer","2 pièces","ROI","0","1","14","Non","Non"
"55","ThomasPlayer","2 pièces","ARCHITECTE","2","0","27","Oui","Non"
"55","MattPlayer","2 pièces","MARCHAND","0","2","12","Non","Non"
"55","AlwaysSpendPlayer","3 pièces","VOLEUR","1","0","15","Non","Non"
"55","RandomPlayer","2 pièces","MAGICIEN","1","0","12","Non","Non"
"56","ThomasPlayer","2 pièces","ARCHITECTE","1","1","17","Non","Non"
"56","RandomPlayer","2 pièces","MAGICIEN","1","0","14","Non","Non"
"56","AlwaysSpendPlayer","4 pièces","VOLEUR","0","0","23","Non","Non"
"56","MattPlayer","2 pièces","MARCHAND","0","0","24","Oui","Non"
"57","MattPlayer","2 pièces","MARCHAND","0","1","25","Oui","Non"
"57","AlwaysSpendPlayer","3 pièces","ASSASSIN","2","0","12","Non","Non"
"57","ThomasPlayer","2 pièces","CONDOTTIERE","0","1","13","Non","Non"
"57","RandomPlayer","2 pièces","EVEQUE","2","1","14","Non","Non"
"58","RandomPlayer","2 pièces","ASSASSIN","2","0","13","Non","Non"
"58","ThomasPlayer","4 pièces","CONDOTTIERE","1","0","20","Non","Non"
"58","AlwaysSpendPlayer","2 pièces","ROI","0","0","25","Oui","Non"
"58","MattPlayer","3 pièces","MARCHAND","0","1","22","Non","Non"
"59","ThomasPlayer","3 pièces","ARCHITECTE","0","0","32","Oui","Non"
"59","RandomPlayer","1 pièces","MAGICIEN","0","1","9","Non","Non"
"59","MattPlayer","2 pièces","MARCHAND","1","0","15","Non","Non"
"59","AlwaysSpendPlayer","3 pièces","CONDOTTIERE","2","0","16","Non","Non"
"60","ThomasPlayer","2 pièces","CONDOTTIERE","0","0","16","Non","Non"
"60","AlwaysSpendPlayer","3 pièces","MARCHAND","1","0","23","Oui","Non"
"60","MattPlayer","2 pièces","MARCHAND","1","0","18","Non","Non"
"60","RandomPlayer","2 pièces","ASSASSIN","5","0","21","Non","Non"
"61","ThomasPlayer","3 pièces","CONDOTTIERE","1","1","34","Oui","Non"
